t,theta1,omega1,theta2,omega2,energy
0.0,1.5707963267948966,0.0,1.5737963267948967,0.0,0.02942995585501918
0.001,1.5707914217949326,-0.009809999855461176,1.5737963267948245,-2.8901994541329383e-10,0.029429955855017908
0.002,1.5707767067954757,-0.019619998839854293,1.573796326793739,-2.3187678030954058e-09,0.029429955855018224
0.003,1.5707521817978396,-0.029429996062286717,1.573796326789016,-7.863956660186137e-09,0.029429955855015594
0.004,1.5707178468042478,-0.03923999059221671,1.5737963267762263,-1.8767269828644446e-08,0.02942995585501587
0.005,1.5706737018178816,-0.049049981439629076,1.5737963267490491,-3.6973345685425656e-08,0.029429955855014022
0.006,1.570619746842951,-0.058859967535211014,1.5737963266991541,-6.456276212410763e-08,0.029429955855013103
0.007,1.570555981884783,-0.06866994771052827,1.5737963266160484,-1.0378602052033048e-07,0.02942995585501165
0.008,1.5704824069499306,-0.07847992067820168,1.5737963264868893,-1.5709752904101292e-07,0.029429955855009626
0.009000000000000001,1.5703990220463022,-0.08828988501208426,1.5737963262962635,-2.271895851228116e-07,0.02942995585500662
0.01,1.5703058271833101,-0.09809983912743886,1.5737963260259327,-3.170263569263933e-07,0.02942995585500557
0.011,1.5702028223720386,-0.10790978126111662,1.573796325654544,-4.29877863538019e-07,0.0294299558550045
0.012,1.5700900076254325,-0.11771970945173635,1.5737963251573073,-5.69353953659417e-07,0.029429955855000117
0.013000000000000001,1.569967382958506,-0.12752962151986494,1.573796324505639,-7.394382825021345e-07,0.029429955854999187
0.014,1.5698349483885692,-0.1373395150481992,1.5737963236667705,-9.445222865420551e-07,0.029429955854998233
0.015,1.5696927039354773,-0.14714938736174904,1.5737963226033236,-1.1894391557734934e-06,0.02942995585499701
0.016,1.5695406496218973,-0.15695923550802257,1.573796321272852,-1.4794978030242317e-06,0.029429955854993493
0.017,1.5693787854735959,-0.16676905623721322,1.5737963196273488,-1.8205168298779964e-06,0.02942995585499085
0.018000000000000002,1.5692071115197463,-0.17657884598238924,1.573796317612719,-2.218858488659433e-06,0.02942995585499033
0.019,1.5690256277932555,-0.1863886008396859,1.5737963151682195,-2.6814626398947617e-06,0.029429955854985194
0.02,1.568834334331111,-0.19619831654850087,1.5737963122258647,-3.2158807046121264e-06,0.029429955854979817
0.021,1.5686332311747482,-0.20600798847169324,1.5737963087097973,-3.830309610756057e-06,0.02942995585497722
0.022,1.568422318370435,-0.21581761157578638,1.5737963045356262,-4.533625732914282e-06,0.0294299558549743
0.023,1.5682015959696802,-0.22562718041117555,1.5737962996097306,-5.335418824523229e-06,0.029429955854971313
0.024,1.5679710640296578,-0.2354366890923405,1.5737962938285281,-6.246025941588727e-06,0.029429955854965134
0.025,1.567730722613654,-0.245246131278064,1.5737962870777125,-7.276565356898966e-06,0.029429955854961175
0.026000000000000002,1.5674805717915323,-0.2550555001516565,1.573796279231454,-8.438970463642913e-06,0.029429955854958
0.027,1.5672206116402183,-0.2648647884011883,1.5737962701515678,-9.746023667191096e-06,0.029429955854950944
0.028,1.566950842244206,-0.2746739881997293,1.5737962596866482,-1.1211390263795486e-05,0.02942995585494345
0.029,1.566671263696082,-0.28448309118559784,1.5737962476711687,-1.2849652304780132e-05,0.029429955854939946
0.03,1.5663818760970698,-0.2942920884426187,1.573796233924548,-1.4676342444739901e-05,0.029429955854933507
0.031,1.5660826795575948,-0.30410097048039253,1.5737962182501828,-1.6707977772142665e-05,0.02942995585492586
0.032,1.5657736741978683,-0.31390972721457605,1.5737962004344468,-1.896209362064373e-05,0.029429955854919768
0.033,1.5654548601484908,-0.3237183479471758,1.5737961802456546,-2.145727735926534e-05,0.02942995585491348
0.034,1.565126237551076,-0.33352682134685513,1.573796157432994,-2.4213202159513732e-05,0.02942995585490929
0.035,1.5647878065588936,-0.343335135429257,1.5737961317254219,-2.7250660737378542e-05,0.029429955854904377
0.036000000000000004,1.5644395673375326,-0.35314327753734276,1.5737961028305292,-3.059159906802203e-05,0.029429955854898326
0.037,1.5640815200655835,-0.36295123432174925,1.5737960704333698,-3.425915007083579e-05,0.029429955854889334
0.038,1.5637136649353407,-0.37275899172116483,1.5737960341952577,-3.827766726244794e-05,0.029429955854884893
0.039,1.5633360021535234,-0.3825665349427267,1.5737959937525285,-4.2672758375059244e-05,0.02942995585487561
0.04,1.5629485319420184,-0.3923738484424406,1.5737959487152695,-4.7471318937439074e-05,0.029429955854869128
0.041,1.5625512545386397,-0.40218091590562494,1.573795898666014,-5.2701565815646766e-05,0.02942995585486094
0.042,1.5621441701979097,-0.41198772022738084,1.5737958431584045,-5.839307071054656e-05,0.029429955854853224
0.043000000000000003,1.5617272791918588,-0.4217942434930903,1.5737957817158197,-6.457679360889404e-05,0.029429955854844425
0.044,1.561300581810845,-0.4316004669589444,1.5737957138299707,-7.128511618470443e-05,0.029429955854833156
0.045,1.5608640783643928,-0.4414063710325036,1.5737956389594625,-7.85518751474376e-05,0.02942995585482336
0.046,1.5604177691820518,-0.4512119352532923,1.5737955565283213,-8.64123955333459e-05,0.029429955854815115
0.047,1.5599616546142738,-0.46101713827342994,1.5737954659244904,-9.490352393621074e-05,0.029429955854806122
0.048,1.5594957350333105,-0.47082195783830133,1.5737953664982922,-0.00010406366167347874,0.029429955854796797
0.049,1.5590200108341294,-0.48062637076726794,1.5737952575608567,-0.00011393279788368583,0.029429955854788442
0.05,1.55853448243535,-0.4904303529344239,1.5737951383825166,-0.0001245525425508389,0.029429955854780587
0.051000000000000004,1.5580391502801978,-0.5002338792493981,1.573795008191171,-0.00013596615945128725,0.02942995585477154
0.052000000000000005,1.5575340148374794,-0.5100369236382066,1.573794866170614,-0.00014821859901840027,0.02942995585476385
0.053,1.5570190766025749,-0.5198394590241568,1.573794711458833,-0.00016135653112020744,0.02942995585475383
0.054,1.5564943360984504,-0.5296414573088079,1.5737945431462719,-0.00017542837774497456,0.02942995585474506
0.055,1.5559597938766894,-0.5394428893529888,1.5737943602740625,-0.00019048434558945111,0.029429955854733902
0.056,1.5554154505185425,-0.54924372495788,1.5737941618322246,-0.0002065764585444198,0.029429955854721468
0.057,1.554861306635997,-0.5590439328461586,1.573793946757832,-0.0002237585900718954,0.02942995585470859
0.058,1.554297362872865,-0.5688434806432138,1.5737937139331464,-0.00024208649546819466,0.029429955854696044
0.059000000000000004,1.5537236199058888,-0.5786423348584337,1.5737934621837202,-0.0002616178440068141,0.02942995585468483
0.06,1.5531400784458678,-0.5884404608665693,1.5737931902764661,-0.00028241225095494775,0.029429955854672563
0.061,1.5525467392388013,-0.5982378228891776,1.5737928969176955,-0.00030453130945721395,0.029429955854661405
0.062,1.5519436030670515,-0.6080343839761493,1.5737925807511242,-0.00032803862227993733,0.029429955854650802
0.063,1.551330670750524,-0.6178301059873246,1.573792240355847,-0.0003529998334091885,0.029429955854638812
0.064,1.5507079431478679,-0.6276249495742013,1.5737918742442816,-0.0003794826594954764,0.029429955854626377
0.065,1.5500754211576915,-0.6374188741617398,1.5737914808600793,-0.00040755692113788943,0.029429955854614
0.066,1.5494331057197999,-0.6472118379302689,1.5737910585760058,-0.00043729457400016903,0.029429955854603396
0.067,1.548780997816447,-0.6570037977974982,1.5737906056917907,-0.00046876973975101154,0.029429955854591683
0.068,1.5481190984736082,-0.6667947094006402,1.5737901204319467,-0.0005020587368207249,0.02942995585457714
0.069,1.5474474087622692,-0.6765845270786494,1.5737896009435561,-0.0005372401109660538,0.029429955854565315
0.07,1.5467659297997332,-0.6863732038545798,1.5737890452940297,-0.0005743946656348344,0.02942995585455449
0.07100000000000001,1.5460746627509454,-0.6961606914180705,1.5737884514688332,-0.0006136054921219318,0.029429955854540335
0.07200000000000001,1.5453736088298358,-0.7059469401079601,1.5737878173691844,-0.0006549579995075867,0.029429955854525014
0.073,1.5446627693006778,-0.7157318988950394,1.5737871408097213,-0.0006985399443691944,0.029429955854512135
0.074,1.5439421454794653,-0.7255155153649443,1.5737864195161386,-0.0007444414602572582,0.029429955854497702
0.075,1.5432117387353061,-0.7352977357011975,1.5737856511227974,-0.0007927550869260134,0.029429955854484158
0.076,1.5424715504918327,-0.7450785046684034,1.5737848331703037,-0.0008435757993090299,0.02942995585447128
0.077,1.5417215822286292,-0.7548577655956021,1.5737839631030586,-0.0008970010362298737,0.029429955854456735
0.078,1.5409618354826755,-0.7646354603597892,1.573783038266781,-0.0009531307288376412,0.02942995585444419
0.079,1.5401923118498073,-0.7744115293696071,1.5737820559060005,-0.0010120673287570164,0.029429955854431977
0.08,1.5394130129861923,-0.7841859115492141,1.5737810131615233,-0.0010739158359422184,0.029429955854414658
0.081,1.5386239406098232,-0.793958544322339,1.5737799070678702,-0.001138783826224027,0.02942995585439878
0.082,1.537825096502026,-0.8037293635965254,1.5737787345506866,-0.001206781478538817,0.029429955854384238
0.083,1.5370164825089832,-0.8134983037475748,1.5737774924241263,-0.0012780216018283344,0.02942995585437136
0.084,1.536198100543274,-0.8232652976041946,1.573776177388208,-0.0013526196615987198,0.029429955854358036
0.085,1.535369952585429,-0.8330302764328571,1.5737747860261457,-0.0014306938061270538,0.029429955854342715
0.08600000000000001,1.5345320406854992,-0.8427931699228773,1.573773314801653,-0.0015123648923035238,0.029429955854327616
0.08700000000000001,1.5336843669646414,-0.852553906171718,1.5737717600562218,-0.0015977565110970142,0.02942995585431285
0.088,1.5328269336167166,-0.8623124116705267,1.573770118006375,-0.0016869950126318124,0.029429955854295087
0.089,1.531959742909904,-0.8720686112899146,1.5737683847408963,-0.0017802095308628576,0.02942995585427899
0.09,1.5310827971883285,-0.8818224282659837,1.5737665562180327,-0.0018775320078367312,0.029429955854264445
0.091,1.5301960988737011,-0.8915737841866097,1.5737646282626758,-0.00197909721752545,0.029429955854250234
0.092,1.5292996504669754,-0.9013225989779903,1.573762596563517,-0.0020850427892198757,0.0294299558542368
0.093,1.5283934545500146,-0.9110687908914635,1.573760456670181,-0.0021955092304693697,0.029429955854223366
0.094,1.5274775137872738,-0.9208122764906083,1.573758203990337,-0.0023106399495541542,0.029429955854207268
0.095,1.5265518309274935,-0.930552970638631,1.5737558337867863,-0.002430581277476608,0.029429955854191725
0.096,1.5256164088054063,-0.9402907864860501,1.5737533411745284,-0.00255548248945761,0.029429955854175627
0.097,1.5246712503434556,-0.9500256354586853,1.573750721117807,-0.002685495825923808,0.029429955854157974
0.098,1.5237163585535265,-0.959757427245959,1.5737479684271345,-0.0028207765129715395,0.029429955854142098
0.099,1.5227517365386873,-0.9694860697895202,1.5737450777562954,-0.0029614827822929983,0.029429955854125334
0.1,1.5217773874949434,-0.979211469272199,1.5737420435993321,-0.0031077758905500292,0.029429955854110013
0.101,1.520793314713001,-0.9889335301072996,1.57373886028751,-0.003259820138180833,0.029429955854095358
