t,theta1,omega1,theta2,omega2,energy
0.0,1.5707963267948966,0.0,1.5807963267948966,0.0,0.09809836500817327
0.001,1.570791421795017,-0.00980999951871294,1.5807963267946559,-9.62563278026636e-10,0.0980983650081743
0.002,1.5707767067968228,-0.019619996145870365,1.5807963267910445,-7.707111417467e-09,0.09809836500817415
0.003,1.570752181804659,-0.02942998697010228,1.5807963267753766,-2.6049598910465113e-08,0.09809836500817468
0.004,1.5707178468257998,-0.039239969040409974,1.5807963267331195,-6.187391911087271e-08,0.09809836500817566
0.005,1.5706737018704986,-0.04904993934635221,1.5807963266438083,-1.2116587273243895e-07,0.09809836500817552
0.006,1.570619746952057,-0.058859894798232185,1.580796326480927,-2.1004713516654054e-07,0.098098365008173
0.007,1.5705559820869148,-0.06866983220728538,1.5807963262117566,-3.3480922225411544e-07,0.09809836500817447
0.008,1.5704824072947574,-0.07847974826586865,1.5807963257971867,-5.01947454071717e-07,0.09809836500817157
0.009000000000000001,1.5703990225986464,-0.08828963952765075,1.5807963251914958,-7.181949163054879e-07,0.09809836500817051
0.01,1.570305828025167,-0.0980995023878047,1.5807963243420964,-9.905564187454864e-07,0.09809836500816996
0.011,1.5702028236045964,-0.10790933306320209,1.5807963231892461,-1.3263424504149392e-06,0.09809836500816832
0.012,1.5700900093710928,-0.11771912757260987,1.580796321665725,-1.7332031308001572e-06,0.09809836500816368
0.013000000000000001,1.5699673853629028,-0.1275288817168897,1.5807963196964794,-2.219162156641069e-06,0.09809836500816133
0.014,1.5698349516225893,-0.13733859105920057,1.5807963171982304,-2.7926507436771458e-06,0.09809836500815847
0.015,1.5696927081972794,-0.1471482509052047,1.5807963140790504,-3.462541562709524e-06,0.09809836500815633
0.016,1.5695406551389308,-0.15695785628327735,1.5807963102379043,-4.238182669293555e-06,0.0980983650081538
0.017,1.5693787925046205,-0.16676740192472111,1.580796305564157,-5.129431426339917e-06,0.09809836500815093
0.018000000000000002,1.5692071203568507,-0.17657688224398477,1.5807962999370468,-6.146688418792732e-06,0.09809836500814736
0.019,1.5690256387638757,-0.1863862913188876,1.5807962932251265,-7.300931359586014e-06,0.09809836500814173
0.02,1.5688343478000486,-0.19619562287084952,1.580796285285668,-8.603748985926474e-06,0.0980983650081368
0.021,1.5686332475461877,-0.20600487024512779,1.580796275964035,-1.0067374944934764e-05,0.09809836500813279
0.022,1.568422338089962,-0.21581402639106068,1.580796265093021,-1.1704721667591102e-05,0.09809836500812655
0.023,1.5682016195262978,-0.22562308384231894,1.5807962524921533,-1.3529414229881216e-05,0.09809836500812255
0.024,1.5679710919578032,-0.23543203469716587,1.580796237966964,-1.555582419988877e-05,0.0980983650081151
0.025,1.5677307554952145,-0.24524087059872662,1.5807962213082263,-1.779910346963019e-05,0.09809836500810894
0.026000000000000002,1.5674806102578605,-0.2550495827152676,1.580796202291157,-2.0275218070166435e-05,0.09809836500810404
0.027,1.5672206563741473,-0.264858161720487,1.580796180674586,-2.3000981968601257e-05,0.09809836500810173
0.028,1.5669508939820629,-0.27466659777381686,1.580796156200091,-2.599409084539491e-05,0.09809836500809888
0.029,1.566671323229701,-0.28447488050073877,1.580796128591099,-2.9273155850315318e-05,0.098098365008095
0.03,1.566381944275805,-0.29428299897311283,1.5807960975519542,-3.28577373353106e-05,0.09809836500808741
0.031,1.5660827572903318,-0.30409094168952233,1.5807960627669517,-3.676837856241509e-05,0.09809836500808156
0.032,1.565773762455034,-0.3138986965556343,1.5807960238993384,-4.102663938474385e-05,0.09809836500807428
0.033,1.565454959964064,-0.3237062508645779,1.5807959805902783,-4.565512989848355e-05,0.09809836500806732
0.034,1.5651263500245944,-0.3335135912773416,1.5807959324577863,-5.067754406369894e-05,0.09809836500805895
0.035,1.564787932857462,-0.3433207038031906,1.5807958790956278,-5.611869329161564e-05,0.09809836500805216
0.036000000000000004,1.5644397086978281,-0.3531275737801061,1.5807958200721837,-6.200453999597198e-05,0.09809836500804586
0.037,1.5640816777958593,-0.36293418585524795,1.5807957549292833,-6.836223110584337e-05,0.09809836500803834
0.038,1.5637138404174291,-0.3727405239654419,1.5807956831810024,-7.522013153726486e-05,0.09809836500803126
0.039,1.5633361968448374,-0.3825465713176939,1.5807956043124294,-8.260785762081653e-05,0.09809836500802456
0.04,1.5629487473775499,-0.3923523103697326,1.5807955177783966,-9.055631048220092e-05,0.0980983650080179
0.041,1.5625514923329573,-0.40215772281058243,1.5807954230021786,-9.909770937269083e-05,0.09809836500800884
0.042,1.5621444320471543,-0.4119627895411684,1.5807953193741582,-0.00010826562494620708,0.09809836500800305
0.043000000000000003,1.5617275668757358,-0.4217674906549558,1.5807952062504578,-0.00011809501247964473,0.09809836500799353
0.044,1.5613008971946158,-0.4315718054186262,1.5807950829515385,-0.00012862224503281552,0.0980983650079854
0.045,1.560864423400863,-0.44137571225279215,1.5807949487607653,-0.00013988514654439266,0.09809836500797786
0.046,1.5604181459135562,-0.4511791887127527,1.5807948029229408,-0.00015192302485992308,0.09809836500797128
0.047,1.5599620651746595,-0.46098221146929275,1.5807946446428034,-0.00016477670468789836,0.09809836500796203
0.048,1.5594961816499169,-0.47078475628952826,1.5807944730834949,-0.00017848856047969456,0.09809836500795352
0.049,1.5590204958297647,-0.4805867980178,1.5807942873649938,-0.00019310254922898964,0.09809836500794236
0.05,1.5585350082302645,-0.49038831055661897,1.5807940865625174,-0.00020866424318617273,0.09809836500793448
0.051000000000000004,1.5580397193940538,-0.5001892668476655,1.5807938697048889,-0.00022522086248297923,0.0980983650079241
0.052000000000000005,1.5575346298913173,-0.5099896388528461,1.5807936357728742,-0.00024282130766250308,0.09809836500791638
0.053,1.557019740320775,-0.51978939753541,1.5807933836974848,-0.00026151619210952235,0.09809836500790858
0.054,1.5564950513106912,-0.5295885128411294,1.5807931123582488,-0.0002813578743758498,0.09809836500790026
0.055,1.5559605635199008,-0.5393869536795461,1.5807928205814499,-0.0003024004903953143,0.09809836500789099
0.056,1.555416277638855,-0.5491846879052887,1.5807925071383337,-0.00032469998558273637,0.09809836500788127
0.057,1.5548621943906855,-0.5589816822994622,1.5807921707432826,-0.00034831414681107953,0.09809836500786853
0.058,1.554298314532288,-0.5687779025511158,1.5807918100519578,-0.00037330263426076516,0.09809836500785662
0.059000000000000004,1.5537246388554222,-0.5785733132387915,1.5807914236594105,-0.0003997270131349637,0.09809836500784586
0.06,1.5531411681878327,-0.5883678778121563,1.580791010098161,-0.0004276507852344511,0.09809836500783586
0.061,1.5525479033943859,-0.5981615585737248,1.5807905678362466,-0.00045713942038543335,0.0980983650078257
0.062,1.5519448453782272,-0.6079543166606729,1.5807900952752376,-0.0004882603877135211,0.0980983650078161
0.063,1.5513319950819549,-0.6177461120267498,1.5807895907482226,-0.0005210831867568824,0.09809836500780367
0.064,1.550709353488813,-0.6275369034242902,1.5807890525177624,-0.0005556793784113121,0.09809836500779456
0.065,1.550076921623901,-0.6373266483863337,1.5807884787738133,-0.0005921226156998428,0.09809836500778102
0.066,1.5494347005554028,-0.6471153032088525,1.5807878676316203,-0.0006304886743592326,0.0980983650077698
0.067,1.5487826913958318,-0.6569028229330964,1.580787217129578,-0.0006708554832355251,0.09809836500775682
0.068,1.5481208953032952,-0.6666891613280562,1.5807865252270636,-0.0007133031544805771,0.09809836500774621
0.069,1.5474493134827743,-0.6764742708730526,1.5807857898022375,-0.0007579140135413549,0.09809836500773172
0.07,1.5467679471874232,-0.6862581027404544,1.5807850086498159,-0.0008047726289334531,0.0980983650077174
0.07100000000000001,1.5460767977198844,-0.6960406067785331,1.5807841794788124,-0.0008539658417901994,0.09809836500770341
0.07200000000000001,1.5453758664336212,-0.7058217314944566,1.5807832999102511,-0.0009055827951783985,0.09809836500769004
0.073,1.5446651547342674,-0.7156014240374295,1.5807823674748498,-0.0009597149631716095,0.09809836500767533
0.074,1.5439446640809933,-0.7253796301819855,1.5807813796106749,-0.0010164561796715977,0.09809836500766311
0.075,1.543214395987889,-0.7351562943114357,1.5807803336607669,-0.0010759026669684352,0.09809836500764901
0.076,1.5424743520253639,-0.7449313594014815,1.5807792268707381,-0.0011381530640294326,0.09809836500763608
0.077,1.541724533821562,-0.7547047670039955,1.5807780563863418,-0.001203308454506969,0.09809836500762098
0.078,1.5409649430637942,-0.7644764572309785,1.5807768192510139,-0.0012714723944549581,0.09809836500760699
0.079,1.540195581499986,-0.7742463687386971,1.5807755124033862,-0.0013427509397435568,0.09809836500759161
0.08,1.539416450940141,-0.7840144387120097,1.5807741326747737,-0.001417252673161506,0.0980983650075774
0.081,1.53862755325782,-0.7937806028488863,1.5807726767866341,-0.0014950887311952247,0.09809836500756475
0.082,1.5378288903916357,-0.8035447953451297,1.5807711413480003,-0.001576372830473601,0.09809836500754998
0.083,1.5370204643467624,-0.8133069488793035,1.5807695228528882,-0.001661221293867252,0.09809836500753377
0.084,1.5362022771964607,-0.8230669945978756,1.5807678176776765,-0.0017497530762307426,0.09809836500751845
0.085,1.535374331083617,-0.8328248621005817,1.5807660220784625,-0.00184208978977608,0.09809836500750402
0.08600000000000001,1.534536628222297,-0.8425804794260187,1.5807641321883925,-0.001938355729065652,0.09809836500749103
0.08700000000000001,1.5336891708993143,-0.8523337730374724,1.5807621440149664,-0.0020386778956124566,0.09809836500747515
0.088,1.5328319614758132,-0.8620846678089891,1.5807600534373194,-0.0021431860220754045,0.0980983650074625
0.089,1.5319650023888638,-0.8718330870116969,1.580757856203478,-0.002252012596037179,0.09809836500744784
0.09,1.531088296153072,-0.8815789523003857,1.5807555479275948,-0.002365292883352008,0.09809836500743196
0.091,1.5302018453622033,-0.8913221837003514,1.5807531240871568,-0.0024831649510504913,0.0980983650074172
0.092,1.529305652690817,-0.9010626995945145,1.5807505800201749,-0.0026057696897884485,0.09809836500739988
0.093,1.528399720895917,-0.9108004167108189,1.5807479109223477,-0.002733250835826561,0.09809836500738256
0.094,1.5274840528186113,-0.9205352501099205,1.5807451118442062,-0.002865754992527447,0.09809836500736879
0.095,1.5265586513857858,-0.930267113173172,1.5807421776882353,-0.003003431651356572,0.09809836500735203
0.096,1.52562351961179,-0.9399959175909128,1.5807391032059763,-0.0031464332123733252,0.09809836500733615
0.097,1.524678660600133,-0.949721573351073,1.5807358829951075,-0.003294915004198329,0.09809836500732105
0.098,1.523724077545192,-0.9594439887280978,1.5807325114965063,-0.0034490353034429843,0.0980983650073064
0.099,1.5227597737339307,-0.9691630702722027,1.5807289829912914,-0.003608955353587064,0.09809836500729152
0.1,1.5217857525476293,-0.9788787227989665,1.5807252915978471,-0.003774839383290041,0.09809836500727354
0.101,1.520802017463624,-0.9885908493792709,1.5807214312688294,-0.003946854624121697,0.09809836500726021
0.10200000000000001,1.5198085720570564,-0.9982993513295961,1.5807173957881533,-0.0041251713276974295,0.09809836500724356
0.10300000000000001,1.5188054200026329,-1.00800412820268,1.5807131787679658,-0.004309962782203593,0.09809836500722868
0.10400000000000001,1.5177925650763924,-1.0177050777785492,1.5807087736456007,-0.004501405328298048,0.09809836500721425
0.105,1.516770011157484,-1.0274020960559331,1.5807041736805183,-0.004699678374371025,0.09809836500719793
0.106,1.5157377622299522,-1.0370950772440661,1.5806993719512308,-0.004904964411151298,0.09809836500717939
0.107,1.5146958223845302,-1.04678391375489,1.5806943613522126,-0.00511744902564263,0.09809836500716362
0.108,1.513644195820441,-1.0564684961956632,1.5806891345907976,-0.005337320914375284,0.09809836500714986
0.109,1.5125828868472055,-1.066148713361987,1.5806836841840626,-0.0055647718959574285,0.09809836500713498
0.11,1.5115118998864578,-1.0758244522312561,1.5806780024557003,-0.0057999969229111485,0.09809836500712099
0.111,1.510431239473766,-1.0854955979565453,1.580672081532879,-0.006043194092777761,0.098098365007103
0.112,1.5093409102604598,-1.095162033860937,1.5806659133430927,-0.006294564658477081,0.09809836500708502
0.113,1.5082409170154631,-1.1048236414323012,1.580659489611001,-0.006554313037905284,0.09809836500706837
0.114,1.5071312646271315,-1.1144803003185375,1.5806528018552586,-0.006822646822755997,0.09809836500704971
0.115,1.5060119581050946,-1.124131888323285,1.5806458413853393,-0.007099776786549241,0.09809836500703462
0.116,1.5048830025821016,-1.1337782814021105,1.5806385992983487,-0.007385916891852839,0.09809836500701818
0.117,1.5037444033158722,-1.1434193536591852,1.5806310664758327,-0.0076812842966810495,0.09809836500700109
0.11800000000000001,1.5025961656909486,-1.1530549773444554,1.5806232335805794,-0.007986099360055031,0.09809836500698577
0.11900000000000001,1.5014382952205507,-1.1626850228513188,1.5806150910534151,-0.008300585646709999,0.09809836500696756
0.12,1.5002707975484348,-1.1723093587148123,1.5806066291099972,-0.008624969930933849,0.0980983650069498
0.121,1.4990936784507516,-1.1819278516103233,1.5805978377376022,-0.008959482199522223,0.09809836500693225
0.122,1.4979069438379065,-1.1915403663528283,1.5805887066919133,-0.009304355653834957,0.09809836500691693
0.123,1.4967105997564203,-1.201146765896672,1.580579225493804,-0.009659826710939136,0.09809836500690317
0.124,1.4955046523907896,-1.2107469113358904,1.5805693834261232,-0.010026135003823931,0.09809836500688895
0.125,1.4942891080653466,-1.2203406619050907,1.5805591695304786,-0.010403523380672682,0.09809836500687208
0.126,1.4930639732461186,-1.2299278749808915,1.5805485726040234,-0.010792237903177708,0.09809836500685565
0.127,1.491829254542684,-1.239508406083935,1.580537581196243,-0.01119252784388366,0.09809836500683966
0.128,1.4905849587100275,-1.2490821088814754,1.5805261836057463,-0.01160464568254527,0.09809836500682478
0.129,1.4893310926503922,-1.2586488351905545,1.580514367877061,-0.012028847101485668,0.09809836500681124
0.13,1.4880676634151275,-1.2682084349817686,1.5805021217974333,-0.012465390979941586,0.09809836500679814
0.131,1.4867946782065338,-1.2777607563836366,1.5804894328936345,-0.012914539387382074,0.09809836500678504
0.132,1.4855121443797017,-1.2873056456875744,1.5804762884287744,-0.013376557575787552,0.09809836500677216
0.133,1.4842200694443468,-1.2968429473534837,1.5804626753991233,-0.013851713970876362,0.09809836500675839
0.134,1.4829184610666382,-1.30637250401596,1.580448580530943,-0.014340280162266178,0.09809836500674485
0.135,1.4816073270710197,-1.3158941564911293,1.580433990277328,-0.014842530892558083,0.09809836500672953
0.136,1.4802866754420259,-1.325407743784116,1.5804188908150587,-0.015358744045331314,0.09809836500671554
0.137,1.4789565143260877,-1.3349131030971508,1.5804032680414675,-0.01588920063203713,0.09809836500670421
0.138,1.4776168520333317,-1.344410069838322,1.5803871075713163,-0.016434184777780535,0.09809836500668845
0.139,1.4762676970393702,-1.3538984776309764,1.580370394733692,-0.016993983705979047,0.09809836500667646
0.14,1.4749090579870796,-1.3633781583237772,1.5803531145689158,-0.017568887721888075,0.0980983650066618
0.14100000000000001,1.473540943688371,-1.372848942001419,1.5803352518254696,-0.018159190194982876,0.0980983650066487
0.14200000000000002,1.472163363125948,-1.3823106569960073,1.580316790956942,-0.018765187540187522,0.09809836500663716
0.14300000000000002,1.4707763254550534,-1.3917631298991082,1.5802977161189915,-0.019387179197941775,0.09809836500662494
0.14400000000000002,1.4693798400052032,-1.4012061855744673,1.5802780111663328,-0.020025467613097186,0.09809836500661007
0.145,1.467973916281908,-1.4106396471714062,1.5802576596497426,-0.02068035821263436,0.09809836500659452
0.146,1.4665585639683811,-1.4200633361388968,1.5802366448130893,-0.021352159382193682,0.09809836500657942
0.147,1.4651337929272303,-1.429477072240317,1.5802149495903866,-0.022041182441412413,0.09809836500656832
0.148,1.4636996132021365,-1.4388806735688906,1.5801925566028718,-0.0227477416180617,0.09809836500655678
0.149,1.4622560350195157,-1.4482739565638127,1.5801694481561124,-0.023472154020977413,0.09809836500654656
0.15,1.460803068790165,-1.457656736027062,1.5801456062371375,-0.0242147396117795,0.09809836500653457
0.151,1.4593407251108905,-1.4670288251409027,1.580121012511601,-0.024975821175375057,0.09809836500652258
0.152,1.4578690147661189,-1.476390035486075,1.5800956483209725,-0.025755724289240958,0.09809836500651148
0.153,1.4563879487294884,-1.4857401770606753,1.5800694946797615,-0.02655477729148254,0.09809836500649993
0.154,1.4548975381654228,-1.4950790582997258,1.580042532272773,-0.027373311247665472,0.09809836500648927
